ind_Latn,sun_Latn
"Pak Totoh berpulang ke Rahmatullah (wafat) pada hari Senin, 01 September 2008 M (01 Ramadhan 1429 H) Pukul 10.17 WIB di RS.","Mr. Totoh tilar dunya dina poé Senén, 1 Séptémber 2008 M (1 Romadon 1429 H) jam 10.17 WIB di RS."
Hasan Sadikin Bandung setelah lebih kurang 15 hari dirawat di Ruang Perawatan Khusus (ICU) dan dimakamkan di TPU Cileunyi Wetan Bandung pukul 16.00 WIB. .,Hasan Sadikin Bandung sanggeus kira 15 poé dirawat di Rohangan Pangawulaan Husus (ICU) sarta dikurebkeun di TPU Cileunyi Wétan Bandung jam 4.00 soré. .
"K.H.R. Totoh Abdul Fatah Lahir 31 Agustus 1931 Balonggede, Bandung, Masa Penjajahan Hindia Belanda Meninggal 01 September 2008 (umur 77) Bandung Kebangsaan Indonesia Nama lain Ajengan Totoh Pekerjaan Pengasuh Pesantren Al-Jawami' Bandung Ketua MUI Provinsi Jawa Barat Anggota MPR RI FKP No.C.727 (1992-1999) Agama Islam Pasangan Hj.","K.H.R. Totoh Abdul Fatah Babar 31 Agustus 1931 Citakan:Country data Belanda Balonggede, Bandung, Masa Penjajahan Hindia Belanda Pupus 01 Séptémber 2008 (yuswa 77) Bandung Kawarganagaraan Indonesia Ngaran séjén Ajengan Totoh Pagawéan Pengasuh Pesantren Al-Jawami' Bandung Ketua MUI Provinsi Jawa Barat Anggota MPR RI FKP No.C.727 (1992-1999) Ageman Islam Pasangan Hj."
"Siti Maryam putri K.H. Muhammad Sudja’i Anak Dr.H. Deding Ishak Ibnu Sudja’, SH.,M.M..","Siti Maryam putri K.H. Muhammad Sudja’i Anak Dr.H. Deding Ishak Ibnu Sudja’, SH.,M.M.. Kolot K.H. Raden Ahmad Badruddin Hj. R. Siti Rahmah"
Riwayat Keluarga,Kulawarga
"Doktor Kiai Haji Jujun Junaedi atau dikenal sebagai K.H. Jujun Junaedi (lahir di Garut, 1 Juni 1971; umur 45 tahun ) adalah seorang dai kondang asal Garut, Jawa Barat.","Doktor Kiai Haji Jujun Junaedi atawa katelah K. H. Jujun Junaédi (lahir di Garut, 1 juni 1971; umur 45 taun ) nyaéta saurang dai kondang asal kabupatén Garut, Jawa Kulon."
Pendiri Pondok Pesantren Al Jauhari Garut atau sebagai Dosen IAIN Bandung.,Pangadeg Pondok Pasantrén Al Jauhari Garut atawa salaku Dosén di IAIN Bandung.
Manakib (series) Ngaji Tasauf Nikah Ciri Jalma yang diharapkan Surga Barang yang paling Mahal Harta jeung Anak Ciri Umat Nabi Hikmah Ibadah Haji Al Yaqin Sikap Manusia terhadap Al-Qur'an Proses Mendidik Anak Hukum dalam Al Qur'an,Manakib (runtuyan) Ngaji Tasauf Nikah Ciri Jalma nu dipiharep Sawarga Barang nu pangmahalna Harta jeung Anak Ciri Umat Nabi Hikmah Ibadah Haji Al Yaqin Sikep manusa kana Al-Qur 'an Prosés Ngadidik Barudak Hukum dina Al Qur'an
Riwayat Pendidikan,Atikan
Riwayat Menjadi Mubaligh,Sajarah Jadi Mubaligh
Album Lagu bersama Heraky,Album Lagu bareng Heraky
Jujun Junaedi Pekerjaan Pimpinan Pesantren Dai Dosen Dikenal karena Menjadi Penceramah Keliling/Ustadz Gelar Doktor Agama Islam Orang tua E. Wasfiah (alm) Pandi Apandi alias Mpend,Jujun Junaedi Katelah ku Menjadi Penceramah Keliling/Ustadz Pagawéan Pimpinan Pesantren Dai Dosen Kalungguhan Doktor Ageman Islam Kolot E. Wasfiah (alm) Pandi Apandi alias Mpend
"Sejak usianya baru empat tahun, Jujun telah mulai menapaki kariernya sebagai seorang ‘Ajengan Cilik’.","Ti keur umurna opat taunan kénéh, Jujun geus mimiti naratas karirna minangka saurang ajengan téh."
"Bahkan cerita tentang lahirnya mubalig cilik, sempat menggegerkan tatar Pasundan. Sekitar tahun 1970-an, nama Jujun telah menarik perhatian umat Islam.","Malah mah kacaritakeun pernah ngageunjleungkeun tatar Pasundan kira-kira taun 1970-an, ngaranna geus ngayungyun panitén umat Islam."
Gebrakannya cukup berhasil.,Gagasanna kawilang ngahasil.
"Sehingga pada waktu itu, banyak masyarakat yang membicarakan Jujun sebagai ‘anak ajaib’.",Sangkan harita loba warga masarakat anu patingkucuwes ngobrolkeun Jujun minangka ‘budak ajaib’.
Dakwah-dakwah KH.,Da'wah-da'wah KH.
"Jujun Junaedi yang unik sangat digemari masyarakat, terutama orang Sunda.","Jujun Junaédi anu miboga ciri mandiri téh kacida dipiresep ku warga masarakat, utamana mah urang Sunda."
Ciri khas-nya tidak banyak dimiliki oleh kebanyakan mubalig lainnya.,Ciri has-na teu loba dipimilik ku kalolobaan mubalig lianna.
"Selain ceramahnya yang selalu menggunakan media bahasa Sunda, Jujun pun sangat pandai membuat guyonan yang menyegarkan.","Lian ti kitu, ceramahna gé sok ngagunakeun média basa Sunda sarta calakan pisan dina nyieun guguyon anu pikaseurieun."
"Siapakah sesungguhnya Jujun Junaedi Mendiskusikan kiprah seorang tokoh muda semacam Jujun adalah memahami apa yang sebenarnya dicari tokoh tersebut dn bagaimana cara ia mendapatkannya. harus diakui bahwa ceramah-ceramah mubaligh muda ini telah menyedot perhatian kalangan Muslim, khususnya bagi mereka yang ada dipelosok desa nun diujung bukit dan sebrang sungai.","Ari Jujun Junaédi kacida dipikaresep pisan mangsa aya ceramahna rék digelar téh, utamana mah ku para warga masarakat nu aya dipilemburan sarta anu ngajugjug ka pangtolaban téh jauh-jauh gé ditéang."
"Ia telah menjelma menjadi mubaligh dengan tingkat daya pikat di atas rata-rata, yang karenanya ia sangat ditunggu tunggu di mana-mana. Undangan yang harus ditunaikan sampai enam bulan kedepan adalah bukti paling sahih akan tingginya nilai Jujun. Sebagai mubaligh muda, ia mengikuti jejak para mubaligh pendahulunya yang sudah lebih dahulu kesohor dikalangan masyarakat Sunda.","Jujun minangka mubalig anu tétéla kamampuh dina widang élmu agama sarta téhnik nepikeunana di luhureun rata-rata. Bisa katungtik nu mana mun hayang ngulem K.H. Jujun mah kudu ti anggalna, kirana pangsamporétna téh genep bulan saméméha. Jujun mitutur tapak mubaligh pangheulana anu geus leuwih tiheula kasohor di lingkung warga masarakat Sunda."
"Sebut saja misalnya, K.H. A.F Ghazali (almarhum), K.H. Abdul Hamid, MA, atau K.H. Zainal Abidin, MA.","Diantarana, K.H. A.F Ghozali (almarhum), K.H. Abdul Hamid, MA, atawa K.H. Zainal Abidin, MA."
"Sampai batas-batas tertentu Jujun bahkan sudah melampaui mereka, setidaknya dalam hal popularitas dan daya jelajah.","Nepi ka wawates nu tinangtu mah Jujun malih mah geus ngeleuwihan, sahenteuna dina perkara kakoncaraan jeung daya langlangan."
"Di samping sibuk ceramah ke mana-mana, Jujun juga telah melahirkan banyak kaset dakwah yang jumlahnya tidak urang dari 20 buah.","Di sagigireun kasibukanna dina widang da'wah kamana-mana, Jujun ogé geus medalkeun sawatara kasét da'wah anu lobana teu kurang ti 20 siki."
"Di usianya yang masih muda, 39 tahun (ketika biografi ini ditulis) capaian seperti itu bisa disebut fenomenal, setidaknya di Jawa Barat.","Dina umur mangsa harita, perkara modél kitu bisa kawilang fénomenal, sahenteuna di Jawa Kulon."
"Kendati sudah mengenyam popularitas yang cukup luas, Jujun tetap dikenal sebagai sosok yang dengan senang hati menyebut dirinya sebagai “mubaligh angkutan pedesaan”.","Sok sanajan geus kakoncara pisan kitu gé, Jujun tetep ngawanoh manéh minangka “mubaligh angkutan padésaan”."
"Mengiringi puncak popularitas yang kini telah diraihnya, Jujun juga banyak ditabrak angin puting beliung yang sangat deras menimpanya. Ia didera sejumlah fitnah –baik kubra maupun sughra- yang datang.","Nandangan kakoncaraanna éta Jujun loba kasanghareupkeun kana masalah-masalah, boh ku béwara nu pitugenaheun boh ku fitnah nu sumebar."
"Ada yang menyebutnya sebagai mubaligh matre, mubaligh mata duitan, dan semacamnya.","Aya nu nyebutkeun minangka mubaligh matré, mubaligh mata duitan, jeung sajabana."
"Kalau melihat posturnya, orang akan segera berkesimpulan kalau Jujun termasuk kategori orang yang pendek tidak, tinggi apalagi, setidaknya untuk ukuran Indonesia.","Ari waragadna, Jujun kaasup kana kategori jalma nu pendék henteu, jangkung komo, sahenteuna pikeun ukuran urang Sunda mah."
"Kalau teliti mengamati, akan segera ditemukan kenyataan bahwa Jujun sebenarnya cenderung berpostr agak pendek.",Mun regep niténan mah tétéla pisan yén Jujun téh rada pendék.
"Meski tentu saja, ia tidak temasuk kategori yang sering disebutnya sebagai semampai alaias satu meter tak sampai.",Sok sanajan teu kaasup kana kategori nu sok dikocapkeunna minangka ''semampai (satu méter tak sampai)''.
"Ukuran 1,55 meter tentu saja bukan ukurn yang terlalu pendek. Rambunya lurus dengan gaya poni berbrlah dua yang sangat khas. Orang sering mengatakan bahwa rambut lurus menandakan orang yang sangat optimis.","Jangkung pastina mah 1,55 méter tangtuna ukuran anu henteu pendék teuing. Rambunya lempeng kalawan gaya poni beulah dua nu has pisan."
Wajahnya cenderung bulat dengan sorotan mata yang tajam menikam ulu hati.,Ari rupana mah rada buleud ku sorot soca nu seukeut.
"Di usianya yang masih kurang dari sepertiga abad ini, urat-urat wajah penggemar olahraga bulu tangkis ini terlihat masih kencang. Hal itu agaknya selaras dengan jenis suaranya yang melengking tinggi. Dengan tingkat suara seperti itu, ia mampu melantunkan ayat-ayat al-Qur’an dan syair-syair lagu dengan nada yang melengking tinggi.","Anu jadi ciri mandiri lianna nyaéta jinis sorana, anu ngagalindeng sarta cempréng luhur pisan. Da apan mun dina unggal ceramahna mah sok ngaheulang waé lalaguan minangka ciri hasna, ieu téh alatan K.H. Jujun mah sok remen nadomkeun pangajaran-pangajaran pasantrén."
"Jujun Junaedi lahir di Garut, tepatnya di 1 juni 1971 silam. Lahir di dusun Sangoraja, desa Sirnagalih, kecamatan Sukawening, Garut. Ia adalah anak tunggal dari pasangan Affandi dan Nunung Wasfiyah, yang biasa dipanggil Nyi Mas Eoh.","Ari gumelarna nyaéta di Garut, perenahna mah di dusun Sangoraja, désa Sirnagalih, kacamatan Sukawening, kabupatén Garut, tanggal 1 Juni 1971."
Ayahnya adalah seorang duda ketika menikahi ibunya yang juga adalah seorang janda.,"Jujun anak hiji-hijina ti papasangan Affandi jeung Nunung Wasfiyah, nu biasa katelahna mah Nyi Mas Éoh."
"Kakeknya dari pihak ayah adalah mandor besar dan ditakuti banyak orang, namanya aki Darnuji yang beristrikan Nini Omo.",Bapana nyaéta saurang duda nalika nikah jeung indungna nu ogé saurang randa.
Dari pihak ibunya kakeknya bernama Aki Momon dan neneknya bernama Nini Saodah. Aki momon adalah seorang kiai yang sangat dihormati.,Ari aki ti bapana nyaéta saurang mandor nu ngaranna aki Darnuji sarta ninina nini Omo.
"Sementara itu nenek jujun, yakni Nini Saodah, adalah seseorang yang paling tidak bisa untuk menolak mereka yang berjualan.",Ari ti indungna mah akina téh ngaranna aki Momon sarta ninina ngaranna nini Saodah.
"Kalau ada sepuluh orang yang datang berjualan kerumah, maka kesepuluh-sepuluhnnya dibeli.",Aki Momon saurang kiai nu dipihormat pisan.
"Ayah Jujun adalah seorang yang tidak bisa baca tulis, bahkan sampai hari ini. Sekolah Dasar (SD) pun tidak tamat.","Bapana K.H. Jujun téh saurang nu buta aksara, malah mah nepi ka kiwari SD-na ogé teu tamat-tamat acan."
"Ibu Jujun, sebagai anak seorang kiai, memiliki pemahaman keagamaan yang bisa dikatakan lumayan.","Indungna mah minangka anak kiai, miboga pamahaman kaagamaan anu kawilang hadé."
"Kontras dengan ibunya, ayah Jujun adalah seorang yang buta huruf, tapi seorang yang memahami liku-liku kehidupan.","Tapi sok sanajan bapana mah saurang nu buta aksara, anjeunna paham pisan kana luka-liku kahirupan."
"Apa yang dikatakannya adalah apa yang dijalani dab diyakininya. Dari sisi spiritual, pengaruh ibu tampaknya sangat besar terhadap Jujun. Hanya, dalam soal karakter Jujun lebih dekat ke ayah.","Ku kituna, pangaruh indung kaciri pisan mangaruhanana, ari dina karaktér mah katara ti bapana."
"Ayah Jujun yang keras, tegas, dan agak gampang marah, dan tabiat itulah yang tampaknya diwarisi dengan sejati oleh Jujun.","Lantaran bapana mah keras, teges, sarta gampang ambek, éta tabéat tétéla pisan aya di diri Jujun."
"Tahun 1977, Jujun kecil memasuki jenjang pendidikan awal di Sekolah Dasar Sindang Galih, Garut.","Taun 1977, Jujun asu ka Sakola Dasar Sindanggalih, Garut."
Pendidikan formal Jujun selalu disokong oleh jenjang pendidikan pesantren.,Atikan formal Jujun sok dirojong ku arikan pasantrén.
"Tidak kurang dari lima pesantren di Garut pernah Jujun singgahi: Pondok Pesantren Tarbiyatul Atthfal, Pondok Pesantren Al-Huda, Pondok Pesantren Jam’iyah, Pondok Pesantren al-Qurthubiyah, dan Pondok Pesantren Kudang Limbangan.","Teu kurang ti lima pasantrén di Garut nu kungsi Jujun ngobong: Pondok Pasantrén Tarbiyatul Atthfal, Pondok Pasantrén Al-Huda, Pondok Pasantrén Jam’iyah, Pondok Pasantrén al-Qurthubiyah, jeung Pondok Pasantrén Kudang Limbangan."
"Selepas Sekolah Dasar, tahun 1983, Jujun melanjutkan ke Madrasah Tsanawiyah (MTs) Ma’arif.","Lulus ti SD, taun 1983, Jujun nuluykeun ka Madrasah Tsanawiyah (MTs) Ma’arif."
"Tahun 1986, Jujun memasuki jenjang pendidikan lanjutan atas. Jujun menjatuhkan pilihan untuk Madrasah Aliyah Negeri Garut, mengambil Jususan Agama (A-1).","Taun 1986, Jujun asup ka SMA di Madrasah Aliyah Negeri Garut, nyokot Jususan Agama (A-1)."
"Tahun 1989, Jujun memasuki jenjang pendidikan tinggi. Perguruan yang ia pilih adalah IAIN (Institut Agama Islam Negeri) Sunan Gunung Djati, dengan mengambil Jurusan Dakwah Fakultas Ushuluddin. Pertama kali masuk IAIN, Jujun dikenal sebagai seorang qari, padahal pada mulanya Jujun dikenal sebagai mubaligh cilik dari Garut, tetapi begitu masuk IAIN ia dikenal sebagai qari.","Taun 1989, Jujun asup ka paguron luhuranu dipilihna nyaéta IAIN (Institut Agama Islam Negeri) Sunan Gunung Djati, kalawan nyokot Jurusan Dakwah Fakultas Ushuluddin. Mimiti asup IAIN, Jujun dipikawanoh minangka saurang qori, padahal baheulana mah Jujun dipikawanoh minangka mubaligh ti Garut, tapi naha pas asup ka IAIN dipikawnohna mah minangka qari."
"Makanya, banyak orang IAIN yang kaget begitu Jujun muncul sebagai mubaligh seperti sekarang, karena mereka lebih mengenal Jujun sebagai qari ketimbang jadi mubaligh.","Alatan kitu, loba urang IAIN anu rareuwas nalika Jujun midang minangka mubaligh siga kiwari, lantaran da wanohna mah Jujun téh minangka tukang qari tibatan jadi mubaligh."
Citra Jujun sebagai qari sangat lekat karena didukung oleh fakta sejarah bahwa ia bersama-sama dengan Asep Mustapa Kamal (dosen fakultas Syari’ah IAIN Bandung) yang mendirikan UPTQ (Unit Pengembangan Tilawatil Quran) di IAIN.,Paroman Jujun minangka qari napel pisan sabab dirojong ku kanyaataan yén Jujun kungsi babarengan jeung Asep Mustapa Kamal (dosen fakultas Syari’ah IAIN Bandung) nu ngadegkeun UPTQ (Unit Pangembangan Tilawatil Quran) di IAIN.
"Ketika usianya baru menginjak 4 tahun, Jujun Junaedi kecil sudah mulai menunjukan bakat besarnya sebagai seorang mubaligh. Sejak usia enam tahun, Jujun sudah memulai undangan-undangan ceramah ketempat yang jauh, bahkan sudah pula merambah ibukota.","Mangsa umurna ngalincak opat taun, Jujun Junaédi geus mimiti némbongkeun bakat badagna minangka saurang mubaligh."
"Tahun 1976-1977, Jujun telah muncul sebagai ajeungan cilik yang telah memikat banyak orang. Kepiawaian Jujun kecil dalam berceramah telah menebar sejumlah kesan amat hebat di kalangan masyarakat. Bahkan beberapa di antara mereka, ada yang mengatakan fenomena Jujun kecil seperti itu sebagai sihir.","Ti umur genep taun, Jujun geus ngamimitian ondangan-ondangan ceramah ka tempat nu jarauh, malah mah geus mimiti asup ka ibukota."
"Kecenderungan ke dunia tabligh sudah dirasakan Jujun sejak kecil, itu karena bakat. Sejak kecil Jujun sudah mulai ceramah, pada momen imtihan misalnya, Jujun selalu tampil di depan publik. Sesungguhnya bakat Jujun bisa terbilang banyak.","Taun 1976-1977, Jujun mucunghul minangka ajengan leutik nu geus ngayungyun ka loba jalma."
"Ngaji bisa, nyanyi bisa, mantun bisa, main gitar bisa, ngedalang bisa, ceramah apalagi.Motivasi pertama yang mendorong Jujun terjun kedunia tabligh adalah lingkungan. Lingkungan yang mendidik begitu, kemudian Jujun menyediakan bakat dan mengarahkannya, maka hasilnya adalah undangan ceramah yang terus mengalir yang harus Jujun tunaikan.",Kaparigelanna Jujun leutik dina ceramah téh geus nyumebarkeun paroman kahébatanna di lingkung warga masarakat.
"Dari kegiatan ceramahnya itu, pada gilirannya, kemudian mendatangkan penghargaan berupa finansial. Tidak dimungkiri, hal itu turut memotivasi Jujun untuk makin terus ke dunia tabligh. Yang paling berpengaruh dalam menuntut perjalanan Jujun ke dunia tabligh, sudah tentu adalah Ibu, Bapak, dan Kakek Jauhar Maknun.","Beuratna kana dunya tabligh geus dirasakeun Jujun ti keur leutik mula, sabab éta mah bakat."
"Di luar mereka bertiga, nama KH Zainal Abidin dan KH Abdul Hamid diakui Jujun memiliki jasa besar dalam mengantar Jujun ke dunia tabligh. Dan yang terakhir yang berjasa pada Jujun tentu saja produser rekaman, melalui pangersa Abah Anom (KH Shohibul Wafa Tajul Arifin).","Ti keur leutik Jujun geus mimiti ceramah, dina momen imtihan misalna, Jujun sok minton di hareupeun balaréa."
"Salah satu trade mark Jujun yang dikenal masyarakat luas adalah kebiasaannya bernyanyi di tengah-tengah ceramahnya. Menurut Jujun, kebiasaanya menyanyi ditengah-tengah ceramahnya, diawali dengan kebiasaannya menghafal nadhom (syair pelajaran) ketika belajar diwaktu kecil. Penyampaian lagu-lagu dalam ceramah-ceramahnya sesungguhnya hanyalah sekadar sebuah strategi untuk menarik minat orang datang ke pengajian.",Saéstuna bakat Jujun kawilang loba.
Itulah sebenarnya kerangka awal Jujun menyampaikan materi ceramahnya dengan lagu. Pada saat ini masih sangat sedikit upaya-upaya transformasi metodologis yang dilakukan dalam berdakwah. Upaya-upaya dakwah –khususnya tabligh- masih lebih banyak menggunakan formula lama yang cenderung kaku.,"Ngaji bisa, nyanyi bisa, mantun bisa, maén gitar bisa, ngadalang bisa, ceramah komo. Motivasi munggaranna nu ngadorong Jujun icikibung kana dunya tabligh téh nyaéta faktor lingkungan."
"Sementara pada saat yang bersamaan, transformasi metodologis pada dunia hiburan misalnya, berlangsung begitu dinamis dan kreatif, sehingg sangat menarik perhatian. Sementara itu, dunia tabligh masih berkutat pada pola lama yang seolah tidak pernah beranjak. Padahal ia menuntut sentuhan baru sesuai dengan laju zaman yang baru.","Lingkungan an ngadidikna kitu, tuluy Jujun nyayagakeun bakat jeung ngarahkeunana, mangka hasilna nya ondangan ceramah nu terus-tumerus teu eureun-eureun anu kudu dicumponan ku Jujun."
